100,117917,47293,67686,23456,73232,
200,748607,294844,393024,114551,256688,
300,1143255,403612,580748,91338,45464,
400,316239,735630,442605,43701,78765,
500,546124,238280,329646,32047,77881,
600,360334,379279,794662,51516,122146,
700,564956,378061,622012,60744,97371,
800,522337,440430,3109630,72931,194699,
900,782647,370112,2050489,89738,221772,
1000,1130029,158243,1340073,73921,366407,
1100,1837688,309507,2879156,99905,247149,
1200,1471583,288488,5925439,104163,317357,
1300,3580462,411010,948341,73742,298726,
1400,2109570,230341,494161,61415,235699,
1500,1825637,226891,895207,71395,303264,
1600,2375951,269615,679345,81591,522706,
1700,2780280,307447,822869,80971,374086,
1800,2704684,250687,775663,71650,207955,
1900,3086200,278017,955984,79114,304175,
2000,3943477,359858,4568824,100276,254666,
2100,4087587,452869,1341514,90318,360219,
2200,4175399,409733,1411332,125246,373964,
2300,5191188,519358,1427993,123229,564478,
2400,4975336,482136,1406553,102168,503976,
2500,5458242,620110,1749901,108022,586661,
2600,5843168,570354,1766961,145582,338947,
2700,6570922,674576,1619052,234416,349112,
2800,7012342,591642,2010373,120764,640700,
2900,8135439,858947,2002066,152444,339660,
3000,7917443,703871,2536315,122082,377960,
3100,8749974,763165,2408231,124788,530636,
3200,9909242,914399,2569129,127199,363448,
3300,9936522,1148116,2661671,193729,378908,
3400,12413819,3379795,3143001,141062,807966,
3500,20672021,1300850,5030704,187703,797564,
3600,18181538,4256240,5907590,167649,584632,
3700,20355813,1561662,8898037,199803,617225,
3800,24039221,1366205,9776877,248033,1321744,
3900,25474745,3010376,5551747,184235,796456,
4000,20558766,1621415,6594919,252987,1178756,
4100,31020710,3572825,6670951,323617,1098279,
4200,20922027,3182005,8373586,270093,1185476,
4300,21132946,2529948,9856410,248602,776715,
4400,25455450,1568476,4285846,178779,658223,
4500,19485472,1529932,5029870,197497,588242,
4600,21064938,1928143,5224890,253592,595422,
4700,22640356,2258373,5420118,231680,741242,
4800,22890550,1891558,5273156,247961,635713,
4900,27462018,6238922,8117227,236640,549773,
5000,34274869,5192992,8690235,222385,857020,
5100,31428515,2983710,6463648,1064289,1124261,
5200,31698452,2720364,8695195,220119,947603,
5300,38600023,4706715,7679390,219055,828915,
5400,32521746,2919743,7931701,446188,1325931,
5500,32484895,2655759,7375338,241405,678724,
5600,40172524,2736329,8049712,255115,678678,
5700,34252458,2681995,7186834,253662,844063,
5800,34667833,2504001,7739901,281801,731951,
5900,38841636,3530981,15706162,251455,1326669,
6000,50068236,3028128,12650082,237185,711521,
6100,46600396,2919411,11324388,957589,869828,
6200,46251379,3434550,9788272,341478,768570,
6300,43117750,3275914,9138358,254834,756706,
6400,43133118,3687066,9298248,258511,1046789,
6500,44496132,3345150,9463480,276398,1063005,
6600,43917813,3457922,10426759,345182,1290563,
6700,61482696,3574318,10998516,394966,1375016,
6800,48226954,3728767,10488623,264849,773447,
6900,49610240,4108046,11735173,274015,986131,
7000,49366283,4051449,11011892,274635,900481,
7100,56726354,3856591,11701553,274270,812434,
7200,54874545,4105203,12519281,288887,863766,
7300,54780879,4943109,12418873,352943,1533052,
7400,56891243,5428133,19167992,418759,2151871,
7500,63078341,4588435,14082581,304708,1116470,
7600,61950394,4629990,13210868,299416,929281,
7700,64742035,5320495,14867660,294520,908583,
7800,64260345,5564781,14110779,333101,1222197,
7900,65605705,5119205,15059780,308436,922691,
8000,69087806,6222586,15831308,395582,1213933,
8100,69671984,5392865,16332504,324384,994475,
8200,70089204,7249958,17304212,335377,952422,
8300,80928492,5258370,16565508,365613,1376722,
8400,75731283,5266601,16559029,378623,1381783,
8500,76762441,5754642,17265353,453357,1865824,
8600,81892380,6563708,17740237,434376,1321645,
8700,82431685,6332485,20117030,420523,1495084,
8800,84361407,6001596,18904300,380648,1545088,
8900,85298912,8002599,19858567,473067,1889106,
9000,88697584,7284550,19091425,375197,1567369,
9100,89616162,8606110,20491889,429962,1380228,
9200,94405671,7834868,20164360,374518,1039846,
9300,93381447,8390257,19584247,370904,1074772,
9400,98224687,7060506,21063334,380072,1452497,
9500,99019862,7708809,20651149,382443,1087354,
9600,100511125,7550045,22463512,424480,1455904,
9700,102038383,7406687,21599422,425967,1392190,
9800,102304904,8490947,21871715,426535,1348092,
9900,106053514,8394077,23140306,513934,1716134,
